date,walletBalanceXBT,adjustedWealthXBT,daily_realised_pnl_xbt,daily_funding_xbt,daily_deposit_xbt,daily_withdrawal_xbt,n_fills,top_3_symbols_traded
2021-10-01,66.654673,72.655673,-0.201702,0.0,0.0,0.0,335,"AXSUSDT,XBTUSD,DOGEUSD"
2021-10-02,67.191066,73.192066,0.536393,0.0,0.0,0.0,401,"AXSUSDT,ETHUSD,LTCUSD"
2021-10-03,67.771859,73.772859,0.580793,0.0,0.0,0.0,136,"DOGEUSD,AXSUSDT,XBTUSD"
2021-10-04,67.782222,73.783222,0.010364,0.0,0.0,0.0,100,"AXSUSDT,AAVEUSDT,XBTUSD"
2021-10-05,68.220036,74.221036,0.437813,0.0,0.0,0.0,188,"AXSUSDT,XBTUSD,ETHUSD"
2021-10-06,68.908319,74.909319,0.688283,0.0,0.0,0.0,95,"ETHZ21,XBTUSD,ETHUSD"
2021-10-07,68.868078,74.869078,-0.040241,0.0,0.0,0.0,52,"ETHUSD,ETHZ21,DOGEUSD"
2021-10-08,68.841567,74.842567,-0.026511,0.0,0.0,0.0,23,"XBTUSD,ETHZ21,AAVEUSDT"
2021-10-09,68.306216,74.307216,-0.535352,0.0,0.0,0.0,139,"ETHUSD,XBTUSD,ETHZ21"
2021-10-10,67.420711,73.421711,-0.885504,0.0,0.0,0.0,67,"ETHZ21,XBTUSD,DOGEUSD"
2021-10-11,67.537759,73.538759,0.117048,0.0,0.0,0.0,99,"XBTUSD,ETHZ21,ETHUSD"
2021-10-12,65.815588,71.816588,-1.722171,0.0,0.0,0.0,139,"XBTUSD,ETHUSD,ETHZ21"
2021-10-13,63.370289,69.371289,-2.445299,0.0,0.0,0.0,133,"XBTUSD,ETHZ21,ETHUSD"
2021-10-14,62.367088,68.368088,-1.003201,0.0,0.0,0.0,78,"XBTUSD,ETHZ21"
2021-10-15,59.984397,65.985397,-2.382691,0.0,0.0,0.0,204,"XBTUSD,ETHUSD,ETHZ21"
2021-10-16,57.338621,63.339621,-2.645776,0.0,0.0,0.0,26,"ETHUSD,ETHZ21"
2021-10-17,57.244708,63.245708,-0.093914,0.0,0.0,0.0,48,"ETHUSD,ETHZ21,XBTUSD"
2021-10-18,57.290642,63.291642,0.045934,0.0,0.0,0.0,60,"ETHUSD,ETHZ21,AAVEUSDT"
2021-10-19,57.297518,63.298518,0.006876,0.0,0.0,0.0,49,"AAVEUSDT,DOGEUSD,ETHZ21"
2021-10-20,57.284248,63.285248,-0.013271,0.0,0.0,0.0,29,"XRPUSD,LUNAUSD,XBTUSD"
2021-10-21,57.303696,63.304696,0.019449,0.0,0.0,0.0,25,"ETHUSD,ETHZ21,XBTUSD"
2021-10-22,57.260358,63.261358,-0.043338,0.0,0.0,0.0,10,"XBTUSD,ETHZ21,DOGEUSD"
2021-10-23,57.292877,63.293877,0.032519,0.0,0.0,0.0,75,"XBTUSD,ETHZ21,XRPUSD"
2021-10-24,57.329042,63.330042,0.036165,0.0,0.0,0.0,18,"ETHZ21,XBTUSD,XRPUSD"
2021-10-25,57.276396,63.277396,-0.052646,0.0,0.0,0.0,11,"ETHZ21,ETHUSD"
2021-10-26,57.228252,63.229252,-0.048144,0.0,0.0,0.0,73,"ETHZ21,ADAUSD,AAVEUSDT"
2021-10-27,57.57679,63.57779,0.348537,0.0,0.0,0.0,119,"XBTUSD,AAVEUSDT,DOGEUSD"
2021-10-28,57.837677,63.838677,0.260887,0.0,0.0,0.0,197,"XBTUSD,DOGEUSD,ETHUSD"
2021-10-29,58.545913,64.546913,0.708236,0.0,0.0,0.0,40,"ETHUSD,AXSUSDT,DOGEUSD"
2021-10-30,58.648813,64.649813,0.1029,0.0,0.0,0.0,72,"DOGEUSD,AAVEUSDT,XRPUSD"
2021-10-31,58.586003,64.587003,-0.06281,0.0,0.0,0.0,5,TRXUSDT
2021-11-01,58.541525,64.542525,-0.044479,0.0,0.0,0.0,9,ETHUSD
2021-11-02,58.875284,64.876284,0.333759,0.0,0.0,0.0,34,"ETHUSD,ETHZ21,TRXUSDT"
2021-11-03,59.29582,65.29682,0.420536,0.0,0.0,0.0,66,"ADAUSD,XRPUSD,ETHUSD"
2021-11-04,60.262382,66.263382,0.966563,0.0,0.0,0.0,87,"ETHUSD,DOGEUSD,XRPUSD"
2021-11-05,60.38393,66.38493,0.121548,0.0,0.0,0.0,45,"ETHUSD,ETHZ21"
2021-11-06,61.556889,67.557889,1.172959,0.0,0.0,0.0,154,"ETHUSD,ETHZ21,ADAUSD"
2021-11-07,61.923059,67.924059,0.366169,0.0,0.0,0.0,1,ETHZ21
2021-11-08,62.091182,68.092182,0.168124,0.0,0.0,0.0,50,"ADAUSD,ETHZ21,LTCUSD"
2021-11-09,62.195045,68.196045,0.103863,0.0,0.0,0.0,77,"ADAUSD,ETHZ21,LTCUSD"
2021-11-10,62.220557,68.221557,0.025512,0.0,0.0,0.0,31,"ETHZ21,ETHUSD,XBTUSD"
2021-11-11,62.211586,68.212586,-0.008971,0.0,0.0,0.0,31,"ETHUSD,ETHZ21,XBTUSD"
2021-11-12,62.466696,68.467696,0.25511,0.0,0.0,0.0,50,"ADAUSD,XBTUSD,ETHZ21"
2021-11-13,62.458703,68.459703,-0.007993,0.0,0.0,0.0,3,ETHZ21
2021-11-14,62.52984,68.53084,0.071137,0.0,0.0,0.0,2,ETHZ21
2021-11-15,62.549759,68.550759,0.019919,0.0,0.0,0.0,5,"ETHZ21,TRXZ21"
2021-11-16,62.569357,68.570357,0.019599,0.0,0.0,0.0,113,"TRXZ21,XBTUSD,ADAUSD"
2021-11-17,62.560854,68.561854,-0.008503,0.0,0.0,0.0,23,"XBTUSD,LTCUSD"
2021-11-18,62.540398,68.541398,-0.020456,0.0,0.0,0.0,206,"ETHUSD,XBTUSD,LTCUSD"
2021-11-19,61.926076,67.927076,-0.614322,0.0,0.0,0.0,499,"ADAUSD,ETHUSD,XBTUSD"
2021-11-20,61.824316,67.825316,-0.101761,0.0,0.0,0.0,182,"ETHUSD,ADAUSD,XBTUSD"
2021-11-21,62.075647,68.076647,0.251331,0.0,0.0,0.0,179,"ETHUSD,XBTUSD,TRXZ21"
2021-11-22,62.013514,68.014514,-0.062133,0.0,0.0,0.0,107,"XBTUSD,ETHUSD,ETHZ21"
2021-11-23,62.109143,68.110143,0.095629,0.0,0.0,0.0,53,"ETHUSD,ETHZ21"
2021-11-24,62.147865,68.148865,0.038722,0.0,0.0,0.0,57,"XBTUSD,ETHUSD,DOGEUSD"
2021-11-25,62.063291,68.064291,-0.084574,0.0,0.0,0.0,22,"ETHUSD,ETHZ21,XBTUSD"
2021-11-26,62.172635,68.173635,0.109344,0.0,0.0,0.0,469,"ETHUSD,DOGEUSD,XBTUSD"
2021-11-27,59.972798,65.973798,-2.199837,0.0,0.0,0.0,143,"ETHUSD,ETHZ21,TRXZ21"
2021-11-28,59.47707,65.47807,-0.495728,0.0,0.0,0.0,45,"ETHUSD,ETHZ21"
2021-11-29,59.421065,65.422065,-0.056004,0.0,0.0,0.0,3,ETHZ21
2021-11-30,59.364593,65.365593,-0.056473,0.0,0.0,0.0,18,"XBTUSD,ETHUSD"
2021-12-01,59.321544,65.322544,-0.043049,0.0,0.0,0.0,167,"ETHUSD,LTCUSD,XBTUSD"
2021-12-02,61.188909,67.189909,1.867365,0.0,0.0,0.0,25,"ETHUSD,ETHZ21"
2021-12-03,61.185489,67.186489,-0.00342,0.0,0.0,0.0,463,"ETHUSD,ETHZ21,TRXZ21"
2021-12-04,59.94105,65.94205,-1.244439,0.0,0.0,0.0,516,"ETHUSD,XBTUSD,ETHZ21"
2021-12-05,60.010495,66.011495,0.069445,0.0,0.0,0.0,95,"XBTUSD,ETHUSD"
2021-12-06,60.031335,66.032335,0.02084,0.0,0.0,0.0,87,"XBTUSD,ETHUSD,LTCZ21"
2021-12-07,60.184754,66.185754,0.153419,0.0,0.0,0.0,54,"LTCZ21,XBTUSD,ETHZ21"
2021-12-08,60.353073,66.354073,0.168319,0.0,0.0,0.0,44,"LTCZ21,ETHUSD,XBTUSD"
2021-12-09,60.477271,66.478271,0.124198,0.0,0.0,0.0,356,"ETHUSD,XBTUSD,ETHZ21"
2021-12-10,61.33153,67.33253,0.854259,0.0,0.0,0.0,380,"ETHUSD,XBTUSD,ETHZ21"
2021-12-11,50.207391,66.208591,-1.123939,0.0,0.0,-10.0002,106,"XBTUSD,ETHZ21"
2021-12-12,50.207919,66.209119,0.000528,0.0,0.0,0.0,34,"XBTUSD,ETHZ21"
2021-12-13,50.207299,66.208499,-0.00062,0.0,0.0,0.0,247,"XBTUSD,LTCZ21,ETHUSD"
2021-12-14,50.7029,66.7041,0.495601,0.0,0.0,0.0,48,"XBTUSD,ETHUSD"
2021-12-15,50.740377,66.741577,0.037477,0.0,0.0,0.0,77,"ETHZ21,ETHUSD,XBTUSD"
2021-12-16,50.821861,66.823061,0.081484,0.0,0.0,0.0,248,"XBTUSD,ETHUSD,ETHZ21"
2021-12-17,50.532568,66.533768,-0.289294,0.0,0.0,0.0,123,"XBTUSD,ETHUSD,ETHZ21"
2021-12-18,50.390258,66.391458,-0.14231,0.0,0.0,0.0,185,"ETHUSD,XBTUSD,ETHZ21"
2021-12-19,50.388583,66.389783,-0.001675,0.0,0.0,0.0,32,"ETHUSD,ETHZ21,XBTUSD"
2021-12-20,50.388965,66.390165,0.000382,0.0,0.0,0.0,88,"ETHUSD,XBTUSD,ETHZ21"
