yyyy_mm,symbol,n_fills,n_maker,n_taker,maker_pct,net_pnl_xbt_that_month,year
2020-05,ADAM20,122,77,45,63.11,-0.272227,2020
2020-05,ETHM20,52,15,37,28.85,0.548628,2020
2020-05,LTCM20,225,143,82,63.56,-0.187139,2020
2020-05,TRXM20,95,80,15,84.21,0.275072,2020
2020-05,XBTUSD,460,170,290,36.96,1.708233,2020
2020-06,ADAM20,244,164,80,67.21,-0.356971,2020
2020-06,ETHM20,34,20,14,58.82,-0.210551,2020
2020-06,ETHUSD,164,56,108,34.15,-1.18635,2020
2020-06,LTCM20,162,101,61,62.35,-0.393919,2020
2020-06,LTCU20,58,3,55,5.17,-0.362756,2020
2020-06,TRXM20,42,22,20,52.38,0.063705,2020
2020-06,TRXU20,47,16,31,34.04,,2020
2020-06,XBTUSD,693,241,452,34.78,0.375683,2020
2020-07,ETHU20,54,20,34,37.04,0.356065,2020
2020-07,ETHUSD,6,2,4,33.33,0.004508,2020
2020-07,LTCU20,96,45,51,46.88,-0.192984,2020
2020-07,TRXU20,267,97,170,36.33,-1.005894,2020
2020-07,XBTUSD,564,123,441,21.81,0.767605,2020
2020-07,XRPUSD,47,28,19,59.57,0.193248,2020
2020-08,ETHU20,167,69,98,41.32,0.34191,2020
2020-08,ETHUSD,149,84,65,56.38,1.0604,2020
2020-08,LTCU20,95,67,28,70.53,-0.22313,2020
2020-08,LTCUSD,50,33,17,66.0,0.304928,2020
2020-08,TRXU20,248,145,103,58.47,0.78319,2020
2020-08,XBTUSD,657,257,400,39.12,2.311585,2020
2020-09,BCHUSD,8,4,4,50.0,-0.020331,2020
2020-09,ETHUSD,1177,457,720,38.83,1.820904,2020
2020-09,LINKUSDTZ20,16,3,13,18.75,-0.038057,2020
2020-09,LTCU20,67,44,23,65.67,-0.252567,2020
2020-09,LTCUSD,58,48,10,82.76,-0.142439,2020
2020-09,TRXU20,209,105,104,50.24,0.727955,2020
2020-09,XBTUSD,1402,445,957,31.74,0.358778,2020
2020-10,BCHUSD,57,34,23,59.65,0.024483,2020
2020-10,EOSUSDTZ20,7,5,2,71.43,-0.137778,2020
2020-10,ETHUSD,144,44,100,30.56,-0.226418,2020
2020-10,ETHUSDZ20,8,5,3,62.5,0.005367,2020
2020-10,ETHZ20,69,56,13,81.16,-0.388966,2020
2020-10,LTCUSD,152,89,63,58.55,-0.305874,2020
2020-10,LTCZ20,88,33,55,37.5,-0.286748,2020
2020-10,TRXZ20,183,96,87,52.46,0.011001,2020
2020-10,XBTUSD,4633,700,3933,15.11,0.442559,2020
2020-10,XRPUSD,39,13,26,33.33,-0.071208,2020
2020-10,XTZUSDTZ20,9,5,4,55.56,0.103324,2020
2020-10,YFIUSDTZ20,26,19,7,73.08,-0.972273,2020
2020-11,BCHUSD,24,8,16,33.33,-0.277364,2020
2020-11,ETHUSD,1092,304,788,27.84,3.546793,2020
2020-11,ETHZ20,749,560,189,74.77,1.02018,2020
2020-11,LTCUSD,102,44,58,43.14,-0.015779,2020
2020-11,LTCZ20,303,211,92,69.64,0.257301,2020
2020-11,TRXZ20,222,213,9,95.95,-0.045817,2020
2020-11,XBTUSD,1991,308,1683,15.47,-5.645563,2020
2020-11,XRPUSD,316,103,213,32.59,-0.680021,2020
2020-11,YFIUSDTZ20,204,149,55,73.04,0.863244,2020
2020-12,ETHH21,93,78,15,83.87,1.323586,2020
2020-12,ETHUSD,472,239,233,50.64,3.751519,2020
2020-12,ETHZ20,349,243,106,69.63,-1.591933,2020
2020-12,LTCH21,59,43,16,72.88,-0.021168,2020
2020-12,LTCUSD,224,137,87,61.16,0.052016,2020
2020-12,LTCZ20,424,373,51,87.97,0.637695,2020
2020-12,TRXH21,77,58,19,75.32,-0.016315,2020
2020-12,TRXZ20,93,83,10,89.25,-0.088066,2020
2020-12,XBTUSD,895,389,506,43.46,1.653034,2020
2020-12,XRPUSD,225,96,129,42.67,-0.83469,2020
2020-12,YFIUSDTH21,8,7,1,87.5,,2020
2020-12,YFIUSDTZ20,277,244,33,88.09,-0.015634,2020
2021-01,BCHH21,44,30,14,68.18,-0.060483,2021
2021-01,DOTUSDTH21,6,2,4,33.33,0.012271,2021
2021-01,EOSH21,16,1,15,6.25,-0.022284,2021
2021-01,ETHH21,549,288,261,52.46,2.104433,2021
2021-01,ETHUSD,2196,505,1691,23.0,0.561819,2021
2021-01,LTCH21,489,387,102,79.14,-0.188544,2021
2021-01,LTCUSD,1280,801,479,62.58,-0.494125,2021
2021-01,TRXH21,1089,995,94,91.37,0.525109,2021
2021-01,XBTUSD,12279,2655,9624,21.62,14.535033,2021
2021-01,XRPUSD,1821,589,1232,32.34,1.592811,2021
2021-01,YFIUSDTH21,152,130,22,85.53,0.464127,2021
2021-02,BCHH21,57,46,11,80.7,-0.146845,2021
2021-02,BCHUSD,37,21,16,56.76,0.079107,2021
2021-02,DOGEUSDT,217,170,47,78.34,-0.004681,2021
2021-02,DOTUSDTH21,18,10,8,55.56,0.067717,2021
2021-02,EOSH21,21,17,4,80.95,-0.007698,2021
2021-02,ETHH21,288,195,93,67.71,-0.081801,2021
